,symboling,normalized-losses,wheel-base,length,width,height,curb-weight,engine-size,compression-ratio,city-mpg,highway-mpg,bore,stroke,horsepower,peak-rpm,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system
183,2,94.0,97.3,171.7,65.5,55.7,2319,97,23.0,37,42,3.01,3.4,68.0,4500.0,20,0,1,0,3,1,0,2,2,3
184,2,94.0,97.3,171.7,65.5,55.7,2300,109,10.0,26,32,3.19,3.4,100.0,5500.0,20,1,0,0,3,1,0,2,2,5
185,3,121.83636363636364,94.5,159.3,64.2,55.6,2254,109,8.5,24,29,3.19,3.4,90.0,5500.0,20,1,0,1,0,1,0,2,2,5
186,3,256.0,94.5,165.7,64.0,51.4,2221,109,8.5,24,29,3.19,3.4,90.0,5500.0,20,1,0,1,2,1,0,2,2,5
187,0,121.83636363636364,100.4,180.2,66.9,55.1,2661,136,8.5,19,24,3.19,3.4,110.0,5500.0,20,1,0,0,3,1,0,2,1,5
188,0,121.83636363636364,100.4,180.2,66.9,55.1,2579,97,23.0,33,38,3.01,3.4,68.0,4500.0,20,0,1,0,3,1,0,2,2,3
189,0,121.83636363636364,100.4,183.1,66.9,55.1,2563,109,9.0,25,31,3.19,3.4,88.0,5500.0,20,1,0,0,4,1,0,2,2,5
190,-2,103.0,104.3,188.8,67.2,56.2,2912,141,9.5,23,28,3.78,3.15,114.0,5400.0,21,1,0,0,3,2,0,2,2,5
191,-1,74.0,104.3,188.8,67.2,57.5,3034,141,9.5,23,28,3.78,3.15,114.0,5400.0,21,1,0,0,4,2,0,2,2,5
192,-2,103.0,104.3,188.8,67.2,56.2,2935,141,9.5,24,28,3.78,3.15,114.0,5400.0,21,1,0,0,3,2,0,2,2,5
193,-1,74.0,104.3,188.8,67.2,57.5,3042,141,9.5,24,28,3.78,3.15,114.0,5400.0,21,1,0,0,4,2,0,2,2,5
194,-2,103.0,104.3,188.8,67.2,56.2,3045,130,7.5,17,22,3.62,3.15,162.0,5100.0,21,1,1,0,3,2,0,2,2,5
195,-1,74.0,104.3,188.8,67.2,57.5,3157,130,7.5,17,22,3.62,3.15,162.0,5100.0,21,1,1,0,4,2,0,2,2,5
196,-1,95.0,109.1,188.8,68.9,55.5,2952,141,9.5,23,28,3.78,3.15,114.0,5400.0,21,1,0,0,3,2,0,2,2,5
197,-1,95.0,109.1,188.8,68.8,55.5,3049,141,8.7,19,25,3.78,3.15,160.0,5300.0,21,1,1,0,3,2,0,2,2,5
198,-1,95.0,109.1,188.8,68.9,55.5,3012,173,8.8,18,23,3.58,2.87,134.0,5500.0,21,1,0,0,3,2,0,4,3,5
199,-1,95.0,109.1,188.8,68.9,55.5,3217,145,23.0,26,27,3.01,3.4,106.0,4800.0,21,0,1,0,3,2,0,2,3,3
200,-1,95.0,109.1,188.8,68.9,55.5,3062,141,9.5,19,25,3.78,3.15,114.0,5400.0,21,1,1,0,3,2,0,2,2,5
201,-1,95.0,109.1,188.8,68.9,55.5,3062,141,9.5,19,25,3.78,3.15,114.0,5400.0,21,1,1,0,3,2,0,2,2,5
